[09:58:17] b'Temperature: 26.6c | Humidity: 12.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:17] b'Temperature: 26.8c | Humidity: 12.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:18] b'Temperature: 26.8c | Humidity: 12.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:18] b'Temperature: 26.8c | Humidity: 12.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:18] b'Temperature: 26.8c | Humidity: 12.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:19] b'Temperature: 27.8c | Humidity: 11.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[09:58:19] b'Temperature: 26.8c | Humidity: 12.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:20] b'Temperature: 26.1c | Humidity: 12.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:20] b'Temperature: 26.3c | Humidity: 12.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:20] b'Temperature: 26.7c | Humidity: 12.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:20] b'Temperature: 26.2c | Humidity: 12.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:21] b'Temperature: 26.2c | Humidity: 12.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:21] b'Temperature: 26.2c | Humidity: 12.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:21] b'Temperature: 26.2c | Humidity: 12.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:22] b'Temperature: 26.2c | Humidity: 12.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:22] b'Temperature: 26.2c | Humidity: 12.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:22] b'Temperature: 27.2c | Humidity: 11.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:22] b'Temperature: 26.2c | Humidity: 12.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:23] b'Temperature: 26.4c | Humidity: 12.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:23] b'Temperature: 26.6c | Humidity: 12.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:23] b'Temperature: 26.8c | Humidity: 12.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:23] b'Temperature: 26.1c | Humidity: 12.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:24] b'Temperature: 26.1c | Humidity: 12.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:24] b'Temperature: 26.1c | Humidity: 12.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:24] b'Temperature: 26.1c | Humidity: 12.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:25] b'Temperature: 26.1c | Humidity: 12.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:25] b'Temperature: 26.1c | Humidity: 12.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:25] b'Temperature: 26.1c | Humidity: 12.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:25] b'Temperature: 27.1c | Humidity: 11.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:26] b'Temperature: 26.3c | Humidity: 12.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:27] b'Temperature: 27.7c | Humidity: 11.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[09:58:27] b'Temperature: 26.7c | Humidity: 12.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:27] b'Temperature: 26.7c | Humidity: 12.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:27] b'Temperature: 26.7c | Humidity: 12.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:28] b'Temperature: 26.7c | Humidity: 12.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:28] b'Temperature: 26.7c | Humidity: 12.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:28] b'Temperature: 26.7c | Humidity: 12.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:28] b'Temperature: 26.7c | Humidity: 12.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:29] b'Temperature: 26.2c | Humidity: 12.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:29] b'Temperature: 26.4c | Humidity: 12.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:29] b'Temperature: 26.6c | Humidity: 12.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:30] b'Temperature: 26.8c | Humidity: 12.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:30] b'Temperature: 27.8c | Humidity: 11.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[09:58:31] b'Temperature: 26.8c | Humidity: 12.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:31] b'Temperature: 26.8c | Humidity: 12.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:31] b'Temperature: 26.8c | Humidity: 12.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:32] b'Temperature: 26.8c | Humidity: 12.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:32] b'Temperature: 26.1c | Humidity: 12.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:32] b'Temperature: 26.3c | Humidity: 12.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:32] b'Temperature: 26.7c | Humidity: 12.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:33] b'Temperature: 26.7c | Humidity: 12.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:33] b'Temperature: 26.7c | Humidity: 12.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:33] b'Temperature: 26.7c | Humidity: 12.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:33] b'Temperature: 26.7c | Humidity: 12.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:34] b'Temperature: 26.7c | Humidity: 12.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:34] b'Temperature: 26.7c | Humidity: 12.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:34] b'Temperature: 26.7c | Humidity: 12.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:35] b'Temperature: 26.7c | Humidity: 12.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:35] b'Temperature: 26.2c | Humidity: 12.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:35] b'Temperature: 26.4c | Humidity: 12.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:35] b'Temperature: 26.6c | Humidity: 12.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:36] b'Temperature: 26.6c | Humidity: 12.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:36] b'Temperature: 26.6c | Humidity: 12.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:36] b'Temperature: 26.6c | Humidity: 12.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:36] b'Temperature: 26.6c | Humidity: 12.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:37] b'Temperature: 26.6c | Humidity: 12.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:37] b'Temperature: 26.6c | Humidity: 12.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:37] b'Temperature: 26.6c | Humidity: 12.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:38] b'Temperature: 26.6c | Humidity: 12.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:38] b'Temperature: 26.8c | Humidity: 12.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:38] b'Temperature: 26.1c | Humidity: 12.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:38] b'Temperature: 26.3c | Humidity: 12.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:39] b'Temperature: 26.3c | Humidity: 12.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:39] b'Temperature: 26.3c | Humidity: 12.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:39] b'Temperature: 26.3c | Humidity: 12.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:39] b'Temperature: 26.3c | Humidity: 12.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:40] b'Temperature: 26.3c | Humidity: 12.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:40] b'Temperature: 26.3c | Humidity: 12.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:40] b'Temperature: 26.3c | Humidity: 12.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:41] b'Temperature: 26.3c | Humidity: 12.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:41] b'Temperature: 26.7c | Humidity: 12.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:41] b'Temperature: 26.2c | Humidity: 12.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:41] b'Temperature: 26.4c | Humidity: 12.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:42] b'Temperature: 26.4c | Humidity: 12.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:42] b'Temperature: 26.4c | Humidity: 12.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:42] b'Temperature: 26.4c | Humidity: 12.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:42] b'Temperature: 26.4c | Humidity: 12.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:43] b'Temperature: 26.4c | Humidity: 12.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
